HOLE ID,X,Y,Z,from,to,USCS,SPT-N,FS,LPI
037790031060921_DA0002,303980.26,2770269.37,787.6,0.0,2.025,SP,22.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,787.6,2.025,3.525,CL,7.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,787.6,3.525,5.025,CL,2.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,787.6,5.025,6.525,ML,2.0,2.22,0.0
037790031060921_DA0002,303980.26,2770269.37,787.6,6.525,8.025,SM,5.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,787.6,8.025,9.525,ML,2.0,1.936,0.0
037790031060921_DA0002,303980.26,2770269.37,787.6,9.525,11.025,ML,2.0,1.925,0.0
037790031060921_DA0002,303980.26,2770269.37,787.6,11.025,12.525,ML,2.0,1.906,0.0
037790031060921_DA0002,303980.26,2770269.37,787.6,12.525,14.025,ML,3.0,2.262,0.0
037790031060921_DA0002,303980.26,2770269.37,787.6,14.025,15.525,ML,1.0,1.767,0.0
037790031060921_DA0002,303980.26,2770269.37,787.6,15.525,17.025,CL,50.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,787.6,17.025,18.525,CL,2.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,787.6,18.525,20.0,CL,2.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,0.0,2.025,CL,7.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,2.025,3.525,CL,5.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,3.525,5.025,ML,6.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,5.025,6.525,ML,2.0,1.686,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,6.525,8.025,SM,10.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,8.025,9.525,ML,3.0,1.946,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,9.525,11.025,ML,10.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,11.025,12.525,ML,11.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,12.525,14.025,SM,9.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,14.025,15.525,CL,1.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,15.525,17.025,CL,4.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,17.025,18.525,CL,2.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,18.525,20.0,CL,4.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,0.0,2.025,CL,50.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,2.025,3.525,CL,50.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,3.525,5.025,SM,50.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,5.025,6.525,SM,6.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,6.525,8.025,GM,12.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,8.025,9.525,SM,17.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,9.525,11.025,SM,6.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,11.025,12.525,SM,11.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,12.525,14.025,SM,9.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,14.025,15.525,CL,2.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,15.525,17.025,CL,2.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,17.025,18.525,CL,50.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,18.525,20.0,CL,4.0,3.0,0.0
